transaction_id,timestamp,store_id,customer_type,basket_type,items
0,2024-10-18 11:09:11,2,casual_reader,notes,sticky_notes|pen|notebook|bookmark
1,2024-11-12 19:20:41,6,office_worker,study_set,textbook|notebook|highlighter|bookmark
2,2024-07-03 23:55:30,9,student,notes,sticky_notes|pen|notebook|book
3,2024-10-17 01:33:57,4,student,school,pencil|eraser|notebook
4,2024-09-29 10:15:46,9,office_worker,office,planner|pen
5,2024-04-09 01:31:34,9,casual_reader,gift,novel|bookmark|gift_wrap
6,2024-04-10 01:22:54,10,casual_reader,notes,sticky_notes|pen|notebook
7,2024-11-01 15:11:07,4,office_worker,books,book|bookmark
8,2024-03-30 18:01:07,9,student,journaling,diary|pen|bookmark
9,2024-12-18 07:27:35,6,student,study_set,textbook|notebook|highlighter
10,2024-12-19 01:26:55,6,office_worker,school,pencil|eraser|notebook
11,2024-11-28 23:10:08,10,office_worker,gift,novel|bookmark|gift_wrap
12,2024-07-26 18:45:33,5,office_worker,gift,novel|bookmark|gift_wrap|sticky_notes
13,2024-06-10 11:59:54,8,office_worker,books,book|bookmark
14,2024-02-06 04:35:17,11,casual_reader,gift,novel|bookmark|gift_wrap
15,2024-06-12 14:21:20,9,student,books,book|bookmark
16,2024-01-29 11:04:55,7,office_worker,reading,novel|book
17,2024-10-11 22:31:51,3,student,gift,novel|bookmark|gift_wrap
18,2024-08-23 15:31:03,11,casual_reader,reading,novel|book
19,2024-01-13 03:02:58,5,student,office,planner|pen
20,2024-09-04 23:49:35,8,office_worker,books,book|bookmark
21,2024-08-16 16:12:38,8,casual_reader,reading,novel|book
22,2024-09-03 19:58:27,6,office_worker,journaling,diary|pen
23,2024-05-08 04:11:35,5,student,journaling,diary|pen
24,2024-07-05 07:03:44,7,student,office,planner|pen
25,2024-03-22 13:13:41,5,office_worker,stationery,notebook|pen|highlighter
26,2024-06-11 10:18:00,9,student,stationery,notebook|pen|highlighter
27,2024-10-31 14:26:07,3,student,school,pencil|eraser|notebook|bookmark
28,2024-12-19 20:35:35,1,office_worker,study_set,textbook|notebook|highlighter
29,2024-02-09 06:19:44,5,student,gift,novel|bookmark|gift_wrap
30,2024-04-09 14:32:37,1,office_worker,journaling,diary|pen
31,2024-05-08 18:13:54,1,student,mixed,book|notebook|pen
32,2024-09-10 22:52:49,2,casual_reader,journaling,diary|pen
33,2024-12-25 17:42:05,5,student,office,planner|pen
34,2024-12-27 12:53:41,5,student,stationery,notebook|pen|highlighter
35,2024-01-31 07:55:03,11,casual_reader,gift,novel|bookmark|gift_wrap
36,2024-05-20 02:05:33,6,student,journaling,diary|pen|highlighter
37,2024-05-20 17:48:18,10,casual_reader,journaling,diary|pen
38,2024-04-10 11:45:34,11,student,gift,novel|bookmark|gift_wrap
39,2024-05-13 21:59:13,12,office_worker,journaling,diary|pen
40,2024-06-07 20:28:31,2,student,stationery,notebook|pen|highlighter
41,2024-08-10 06:50:12,12,office_worker,stationery,notebook|pen|highlighter
42,2024-05-17 21:16:28,9,student,office,planner|pen
43,2024-05-21 21:51:10,6,student,journaling,diary|pen|eraser
44,2024-12-07 01:28:14,3,student,journaling,diary|pen
45,2024-07-11 10:21:50,12,casual_reader,notes,sticky_notes|pen|notebook
46,2024-06-24 09:37:45,11,office_worker,study_set,textbook|notebook|highlighter|eraser
47,2024-02-29 07:07:48,8,student,journaling,diary|pen
48,2024-07-10 23:20:03,5,casual_reader,notes,sticky_notes|pen|notebook|eraser
49,2024-02-18 19:13:48,2,student,school,pencil|eraser|notebook
50,2024-10-07 08:35:17,7,student,journaling,diary|pen
51,2024-09-14 15:27:52,4,student,books,book|bookmark
52,2024-10-01 12:57:45,8,student,reading,novel|book|eraser
53,2024-10-20 19:47:15,12,student,gift,novel|bookmark|gift_wrap|sticky_notes
54,2024-08-11 06:22:19,5,student,journaling,diary|pen
55,2024-04-15 01:05:25,3,casual_reader,mixed,book|notebook|pen
56,2024-01-04 18:30:22,8,casual_reader,study_set,textbook|notebook|highlighter
57,2024-04-27 01:50:12,3,office_worker,school,pencil|eraser|notebook
58,2024-06-01 02:47:09,4,office_worker,journaling,diary|pen
59,2024-08-08 22:52:59,2,casual_reader,school,pencil|eraser|notebook
60,2024-02-22 14:30:47,7,casual_reader,reading,novel|book
61,2024-08-25 05:13:17,9,office_worker,school,pencil|eraser|notebook
62,2024-09-18 18:35:11,5,office_worker,mixed,book|notebook|pen|highlighter
63,2024-02-26 20:46:17,7,student,reading,novel|book
64,2024-03-21 01:55:58,7,student,mixed,book|notebook|pen
65,2024-04-07 01:08:49,2,student,reading,novel|book
66,2024-10-22 14:41:23,2,student,office,planner|pen
67,2024-05-28 06:31:28,1,student,office,planner|pen|eraser
68,2024-06-05 11:47:00,6,casual_reader,journaling,diary|pen|bookmark
69,2024-11-22 15:41:37,10,student,notes,sticky_notes|pen|notebook
70,2024-08-28 07:31:58,4,student,gift,novel|bookmark|gift_wrap
71,2024-02-05 18:08:58,8,student,study_set,textbook|notebook|highlighter
72,2024-10-26 18:37:43,7,office_worker,journaling,diary|pen
73,2024-04-16 10:09:05,9,student,books,book|bookmark|highlighter
74,2024-01-13 17:33:31,8,office_worker,office,planner|pen|bookmark
75,2024-12-28 08:29:01,6,student,office,planner|pen
76,2024-12-06 06:33:11,6,student,notes,sticky_notes|pen|notebook
77,2024-09-24 12:03:46,12,student,study_set,textbook|notebook|highlighter
78,2024-03-17 11:27:27,4,office_worker,reading,novel|book|bookmark
79,2024-10-21 08:53:07,11,office_worker,books,book|bookmark
80,2024-12-30 18:01:23,10,student,school,pencil|eraser|notebook
81,2024-07-28 06:42:51,9,student,books,book|bookmark
82,2024-05-30 23:14:28,7,student,school,pencil|eraser|notebook
83,2024-01-24 01:09:08,3,student,books,book|bookmark|eraser
84,2024-01-14 22:48:16,3,office_worker,school,pencil|eraser|notebook|bookmark
85,2024-08-30 03:37:32,8,casual_reader,study_set,textbook|notebook|highlighter|bookmark
86,2024-02-20 02:46:08,4,office_worker,study_set,textbook|notebook|highlighter|sticky_notes
87,2024-10-31 00:20:47,11,student,study_set,textbook|notebook|highlighter|bookmark
88,2024-12-03 11:42:12,1,student,books,book|bookmark
89,2024-04-24 15:52:32,3,student,books,book|bookmark
90,2024-05-23 15:25:07,10,student,office,planner|pen
91,2024-01-01 00:07:15,9,student,notes,sticky_notes|pen|notebook
92,2024-11-22 00:43:22,5,casual_reader,reading,novel|book
93,2024-05-28 00:42:07,5,student,stationery,notebook|pen|highlighter
94,2024-01-12 00:25:47,7,student,school,pencil|eraser|notebook
95,2024-07-26 14:36:30,2,student,notes,sticky_notes|pen|notebook
96,2024-05-30 09:26:56,12,office_worker,mixed,book|notebook|pen
97,2024-05-04 00:56:16,8,office_worker,study_set,textbook|notebook|highlighter
98,2024-11-20 03:59:07,8,student,office,planner|pen
99,2024-12-14 21:03:09,2,student,gift,novel|bookmark|gift_wrap
100,2024-12-11 02:05:03,3,office_worker,stationery,notebook|pen|highlighter
101,2024-11-25 04:56:07,10,student,mixed,book|notebook|pen|eraser
102,2024-11-09 01:32:39,10,student,study_set,textbook|notebook|highlighter|eraser
103,2024-10-09 11:36:41,8,student,school,pencil|eraser|notebook
104,2024-02-11 10:47:27,11,student,reading,novel|book
105,2024-12-19 08:24:34,8,casual_reader,reading,novel|book
106,2024-07-19 06:56:55,12,office_worker,reading,novel|book
107,2024-08-03 11:17:11,5,casual_reader,school,pencil|eraser|notebook|bookmark
108,2024-07-25 23:28:54,2,office_worker,study_set,textbook|notebook|highlighter
109,2024-11-08 13:16:03,4,office_worker,stationery,notebook|pen|highlighter
110,2024-08-27 16:35:32,2,student,reading,novel|book|eraser
111,2024-03-04 20:56:48,4,office_worker,mixed,book|notebook|pen|sticky_notes
112,2024-10-13 09:35:06,4,student,office,planner|pen|sticky_notes
113,2024-08-26 19:01:33,12,student,books,book|bookmark
114,2024-01-21 12:57:16,12,student,gift,novel|bookmark|gift_wrap
115,2024-06-18 10:04:33,3,student,notes,sticky_notes|pen|notebook
116,2024-08-05 05:48:46,12,office_worker,school,pencil|eraser|notebook|bookmark
117,2024-11-15 06:46:26,5,office_worker,books,book|bookmark|sticky_notes
118,2024-02-04 23:01:16,7,student,mixed,book|notebook|pen
119,2024-05-29 13:42:10,6,office_worker,study_set,textbook|notebook|highlighter
120,2024-11-07 23:18:54,2,student,stationery,notebook|pen|highlighter
121,2024-09-07 11:57:40,6,office_worker,journaling,diary|pen
122,2024-10-30 05:39:41,2,office_worker,school,pencil|eraser|notebook|book
123,2024-06-08 13:46:46,4,student,mixed,book|notebook|pen
124,2024-03-17 02:47:45,12,student,reading,novel|book
125,2024-09-27 23:25:11,3,student,notes,sticky_notes|pen|notebook
126,2024-09-27 13:51:06,12,casual_reader,school,pencil|eraser|notebook
127,2024-10-25 10:45:24,8,casual_reader,gift,novel|bookmark|gift_wrap
128,2024-07-02 00:18:05,3,casual_reader,stationery,notebook|pen|highlighter
129,2024-11-18 15:29:02,10,office_worker,reading,novel|book|highlighter
130,2024-02-06 06:17:26,7,casual_reader,books,book|bookmark
131,2024-03-22 09:23:18,4,casual_reader,gift,novel|bookmark|gift_wrap
132,2024-02-03 10:42:36,3,student,notes,sticky_notes|pen|notebook
133,2024-03-21 13:22:57,12,casual_reader,stationery,notebook|pen|highlighter
134,2024-04-09 05:44:27,12,office_worker,office,planner|pen
135,2024-03-02 05:46:14,8,student,reading,novel|book
136,2024-02-23 07:59:03,3,student,journaling,diary|pen
137,2024-10-27 19:45:36,11,student,reading,novel|book
138,2024-02-14 00:38:36,2,office_worker,mixed,book|notebook|pen
139,2024-08-30 12:38:44,2,office_worker,gift,novel|bookmark|gift_wrap
140,2024-05-27 01:44:01,3,casual_reader,notes,sticky_notes|pen|notebook
141,2024-04-09 18:32:36,2,student,school,pencil|eraser|notebook
142,2024-04-21 00:32:48,2,student,notes,sticky_notes|pen|notebook
143,2024-10-16 12:34:17,12,office_worker,school,pencil|eraser|notebook|bookmark
144,2024-10-09 23:37:14,8,student,office,planner|pen
145,2024-10-04 14:45:21,12,student,notes,sticky_notes|pen|notebook
146,2024-11-04 12:43:24,8,office_worker,mixed,book|notebook|pen
147,2024-10-07 10:01:54,12,casual_reader,notes,sticky_notes|pen|notebook
148,2024-05-29 20:03:06,4,student,stationery,notebook|pen|highlighter
149,2024-02-10 10:38:44,11,student,office,planner|pen
150,2024-12-29 18:38:18,7,student,journaling,diary|pen
151,2024-10-18 22:34:32,1,office_worker,journaling,diary|pen|bookmark
152,2024-03-31 13:33:32,9,student,mixed,book|notebook|pen
153,2024-06-26 02:32:24,3,student,books,book|bookmark
154,2024-07-01 11:20:58,10,student,journaling,diary|pen|eraser
155,2024-03-12 17:40:28,12,student,stationery,notebook|pen|highlighter
156,2024-04-24 01:25:08,1,student,reading,novel|book
157,2024-03-02 13:50:52,11,student,study_set,textbook|notebook|highlighter|eraser
158,2024-12-12 03:56:03,3,office_worker,gift,novel|bookmark|gift_wrap
159,2024-12-14 20:37:23,6,student,journaling,diary|pen|bookmark
160,2024-08-19 11:53:21,7,student,office,planner|pen|bookmark
161,2024-08-23 14:13:24,5,student,books,book|bookmark|sticky_notes
