age,monthly_income_ksh,loan_amount_ksh,loan_tenure_months,num_dependants,credit_score,num_prev_loans,num_late_payments,mobile_money_score,county,employment_type,education_level,has_collateral,has_insurance,loan_default
56,36956.0,3264,18,3,540.0,9.0,1,50.3,Kisumu,Informal,University,0,0,0
46,13096.0,4898,1,0,516.0,3.0,0,37.8,Eldoret,Formal,Tertiary,0,0,0
32,17823.0,12472,3,0,518.0,2.0,0,75.2,Meru,Formal,Secondary,0,0,0
60,,6130,6,7,395.0,5.0,2,84.4,Kakamega,Unemployed,Tertiary,0,1,0
25,5000.0,10731,6,5,576.0,8.0,3,78.3,Mombasa,Self-employed,University,1,0,0
38,31070.0,43868,24,1,545.0,8.0,2,100.0,Nairobi,Formal,Primary,1,1,0
56,31957.0,34782,12,3,624.0,3.0,0,50.8,Nairobi,Self-employed,University,0,0,0
36,17684.0,19887,24,1,559.0,9.0,4,71.9,Nyeri,Formal,Tertiary,1,0,0
40,9468.0,39055,3,2,533.0,4.0,1,36.4,Kakamega,Unemployed,Primary,1,0,0
28,9360.0,30628,24,6,462.0,8.0,3,56.1,Kakamega,Formal,Secondary,0,1,0
28,75308.0,11206,6,0,557.0,1.0,1,30.5,Kakamega,Formal,Secondary,1,0,0
41,20420.0,4489,12,5,623.0,1.0,4,71.4,Mombasa,Informal,Tertiary,0,0,0
53,14063.0,14439,3,2,435.0,4.0,3,,Meru,Self-employed,Secondary,0,0,0
57,20846.0,26653,6,7,558.0,0.0,2,18.9,Meru,Formal,Tertiary,1,0,0
41,38738.0,11468,1,5,573.0,7.0,0,46.3,Mombasa,Self-employed,Tertiary,0,1,0
20,,21978,18,6,478.0,4.0,4,95.9,Kisumu,Formal,Secondary,0,0,0
39,20888.0,1981,3,6,491.0,9.0,0,68.2,Mombasa,Unemployed,University,0,0,0
19,31025.0,27566,12,7,573.0,1.0,0,75.4,Thika,Formal,University,1,1,0
41,103872.0,33502,24,4,436.0,8.0,1,62.5,Machakos,Unemployed,Secondary,1,0,0
61,10187.0,24540,24,7,584.0,1.0,4,56.4,Thika,Informal,University,0,0,0
47,15579.0,68385,3,0,460.0,6.0,0,60.3,Kisumu,Informal,Primary,0,0,1
55,16695.0,35049,12,2,656.0,7.0,2,64.9,Kisumu,Unemployed,Primary,0,1,0
19,32558.0,46680,3,4,783.0,5.0,3,38.1,Mombasa,Unemployed,Secondary,1,1,0
38,15441.0,54232,12,6,463.0,6.0,4,75.3,Mombasa,Self-employed,Tertiary,0,0,0
50,26688.0,32324,24,2,603.0,0.0,1,82.4,Eldoret,Formal,Tertiary,1,1,0
29,53280.0,22433,6,5,477.0,3.0,4,56.1,Nyeri,Informal,Secondary,1,0,0
39,42773.0,1000,1,4,654.0,6.0,1,49.5,Thika,Informal,Primary,1,0,0
61,20693.0,12540,6,4,423.0,0.0,3,45.2,Meru,Informal,Secondary,0,0,0
42,69884.0,16933,1,0,598.0,0.0,2,95.2,Eldoret,Informal,University,0,0,0
44,28586.0,7248,24,7,462.0,5.0,0,51.0,Kakamega,Formal,University,0,0,0
59,27171.0,7657,6,1,529.0,3.0,4,73.1,Nakuru,Self-employed,Tertiary,0,1,1
45,5000.0,64965,6,5,446.0,2.0,1,56.2,Meru,Self-employed,Tertiary,1,0,1
33,,44459,3,5,632.0,4.0,3,55.1,Kakamega,Formal,Tertiary,0,1,0
32,5000.0,37833,18,7,466.0,8.0,0,44.7,Eldoret,Informal,Secondary,0,0,0
64,9199.0,10417,24,4,605.0,9.0,3,40.6,Nairobi,Informal,Secondary,1,0,0
61,5000.0,1000,12,4,515.0,9.0,2,74.8,Eldoret,Self-employed,Tertiary,0,0,0
20,35758.0,1672,24,0,538.0,9.0,0,40.1,Eldoret,Formal,Tertiary,0,0,0
54,8907.0,7485,12,1,564.0,,0,69.3,Eldoret,Informal,Primary,1,1,0
24,6946.0,1000,12,5,473.0,4.0,0,61.8,Mombasa,Formal,University,0,0,0
38,5000.0,1000,1,6,571.0,9.0,1,75.1,Thika,Informal,University,1,1,0
26,5000.0,49682,12,3,703.0,4.0,0,47.8,Eldoret,Self-employed,Secondary,1,1,1
56,30753.0,24494,12,3,472.0,8.0,3,81.6,Mombasa,Self-employed,Tertiary,1,0,0
35,40789.0,7391,3,1,667.0,9.0,1,57.2,Kakamega,Formal,University,0,0,0
21,,2846,6,2,699.0,3.0,0,100.0,Nyeri,Informal,Primary,0,0,0
42,22880.0,14333,24,0,,0.0,3,27.7,Thika,Unemployed,Tertiary,0,0,0
31,40539.0,1000,24,1,404.0,9.0,3,100.0,Kakamega,Formal,Secondary,0,0,0
26,5000.0,55746,12,7,580.0,4.0,4,57.5,Kisumu,Self-employed,Secondary,1,0,1
43,13659.0,10716,18,7,495.0,0.0,3,64.5,Meru,Self-employed,University,1,0,1
19,126544.0,10294,24,3,736.0,5.0,2,47.9,Nakuru,Self-employed,Secondary,0,1,0
37,30371.0,9905,12,4,553.0,9.0,0,28.6,Kisumu,Formal,Primary,1,0,0
45,10266.0,1436,1,3,469.0,9.0,0,49.4,Machakos,Formal,Primary,1,0,0
64,25815.0,20340,1,4,435.0,6.0,0,52.7,Nyeri,Unemployed,Primary,0,0,0
24,14684.0,26410,1,0,658.0,0.0,3,63.7,Machakos,Informal,Secondary,0,1,0
61,26593.0,22547,12,4,492.0,9.0,3,82.4,Nairobi,Formal,Tertiary,0,0,0
25,5000.0,2980,3,1,554.0,3.0,0,63.8,Nairobi,Informal,Secondary,1,0,0
64,5000.0,17294,18,4,645.0,8.0,1,64.2,Eldoret,Formal,Tertiary,0,1,0
52,5423.0,16855,12,2,501.0,0.0,1,67.7,Nyeri,Self-employed,Tertiary,1,1,0
31,98364.0,40561,3,7,,8.0,2,24.9,Kakamega,Informal,Secondary,0,1,0
34,46204.0,9532,3,1,548.0,7.0,4,26.7,Kisumu,Self-employed,Tertiary,1,0,0
53,6201.0,9287,24,7,618.0,4.0,2,30.1,Nyeri,Self-employed,Tertiary,0,1,0
57,7303.0,19274,12,0,609.0,,0,52.5,Kisumu,Formal,Secondary,1,0,1
21,45934.0,20051,12,1,527.0,6.0,0,22.6,Nakuru,Informal,Secondary,1,1,0
19,5942.0,12670,3,2,556.0,3.0,0,46.2,Kakamega,Self-employed,Tertiary,0,0,0
23,9355.0,11705,3,0,512.0,5.0,4,32.6,Machakos,Informal,University,1,1,0
59,115718.0,13630,3,3,402.0,6.0,3,69.8,Kisumu,Unemployed,Secondary,1,1,0
21,,39472,24,2,575.0,5.0,4,68.8,Nakuru,Self-employed,Secondary,1,0,0
46,37926.0,12366,12,0,739.0,5.0,2,54.0,Nyeri,Formal,Secondary,0,1,0
35,134603.0,56245,3,6,461.0,1.0,3,22.0,Nakuru,Self-employed,Primary,0,0,0
43,16410.0,14023,1,4,,4.0,3,55.3,Meru,Formal,Tertiary,1,0,0
61,5000.0,59597,12,1,462.0,2.0,2,66.6,Nakuru,Formal,Secondary,1,0,1
51,9796.0,35775,24,0,622.0,6.0,3,76.2,Nakuru,Self-employed,Primary,0,1,1
27,,9001,1,1,594.0,3.0,1,95.1,Eldoret,Self-employed,Secondary,1,0,0
53,69985.0,39849,6,4,534.0,0.0,2,82.4,Nairobi,Informal,Primary,0,0,0
31,51214.0,2332,12,0,458.0,5.0,2,63.3,Machakos,Formal,Secondary,1,0,0
48,5000.0,51817,6,3,559.0,5.0,1,54.3,Meru,Informal,Primary,0,1,0
32,55553.0,19974,3,6,393.0,6.0,4,45.1,Meru,Formal,Primary,0,1,0
25,87826.0,1118,24,6,,7.0,4,87.1,Nairobi,Formal,University,0,0,0
31,32123.0,20670,3,2,637.0,2.0,4,63.3,Thika,Formal,University,0,0,0
40,98983.0,73184,24,0,424.0,5.0,3,72.6,Kisumu,Informal,Secondary,0,0,0
57,61373.0,1447,18,4,396.0,9.0,1,48.2,Nakuru,Unemployed,Tertiary,0,0,1
38,38483.0,16179,3,0,707.0,1.0,2,35.2,Nyeri,Formal,Secondary,0,0,0
33,30128.0,27550,6,1,488.0,8.0,2,52.0,Nakuru,Formal,Secondary,0,0,0
62,15000.0,33241,24,5,663.0,1.0,2,,Nyeri,Self-employed,Secondary,1,1,0
35,6072.0,10682,3,7,534.0,2.0,3,63.8,Nakuru,Self-employed,Secondary,0,0,0
64,32506.0,4567,12,0,533.0,9.0,3,45.3,Meru,Unemployed,Tertiary,0,0,0
41,13401.0,1000,24,6,593.0,,4,60.5,Thika,Formal,Primary,0,0,0
43,70461.0,17336,24,6,,8.0,3,,Nairobi,Formal,Primary,1,0,0
42,175391.0,12062,3,7,,0.0,4,,Kakamega,Informal,Tertiary,1,0,0
62,48861.0,59418,18,6,511.0,,4,17.7,Mombasa,Informal,Tertiary,0,0,0
58,5000.0,1250,3,3,417.0,0.0,2,84.9,Machakos,Informal,Secondary,1,1,0
46,11922.0,23128,6,0,583.0,4.0,3,30.7,Kakamega,Informal,Secondary,1,0,0
32,5000.0,1000,6,2,523.0,7.0,4,52.4,Machakos,Formal,Secondary,0,0,0
62,36794.0,3761,24,0,534.0,7.0,1,72.2,Kisumu,Informal,Secondary,1,1,0
18,50714.0,12087,24,5,428.0,7.0,1,58.8,Nairobi,Self-employed,Secondary,0,1,0
42,90975.0,12134,3,6,709.0,1.0,3,58.5,Nyeri,Informal,Secondary,0,1,0
24,20179.0,23148,6,1,637.0,7.0,2,61.4,Kakamega,Self-employed,Tertiary,0,1,0
26,81075.0,48206,6,6,646.0,,2,100.0,Kakamega,Informal,Tertiary,1,1,0
41,73599.0,20379,18,0,519.0,,4,95.6,Machakos,Formal,Tertiary,0,0,0
18,13354.0,61381,12,3,377.0,6.0,3,46.1,Kakamega,Formal,Secondary,0,1,0
61,71112.0,42676,18,4,745.0,5.0,1,81.0,Nyeri,Informal,Secondary,0,0,0
25,16487.0,17565,1,0,543.0,4.0,4,70.1,Nairobi,Formal,Secondary,0,0,0
41,12327.0,35890,18,0,475.0,0.0,4,59.6,Kisumu,Self-employed,Tertiary,0,0,1
28,36651.0,20576,3,2,591.0,0.0,0,41.8,Mombasa,Self-employed,Secondary,0,0,0
34,13932.0,1636,12,3,666.0,5.0,3,69.0,Nairobi,Informal,University,0,0,0
25,34818.0,26984,3,5,547.0,9.0,4,53.9,Eldoret,Formal,Tertiary,1,0,0
52,32941.0,1994,1,4,677.0,6.0,1,52.4,Kisumu,Unemployed,University,0,0,0
52,29008.0,18032,12,6,658.0,9.0,0,44.7,Kakamega,Formal,Tertiary,0,1,0
50,16754.0,24256,24,1,442.0,9.0,1,80.0,Nyeri,Formal,University,0,1,0
22,27831.0,1376,6,0,482.0,0.0,2,44.6,Thika,Informal,Tertiary,0,0,0
59,31763.0,5247,18,5,645.0,8.0,0,44.8,Kakamega,Self-employed,University,0,1,0
56,27613.0,49460,3,4,300.0,3.0,0,,Meru,Formal,Secondary,0,0,0
58,20570.0,19158,1,1,535.0,4.0,4,57.1,Meru,Informal,Primary,1,1,0
45,5000.0,5654,6,5,406.0,1.0,2,57.7,Thika,Informal,Tertiary,0,0,0
24,,23467,18,3,502.0,9.0,4,80.7,Mombasa,Formal,University,0,0,0
26,6455.0,18165,6,3,,7.0,3,86.3,Meru,Formal,Secondary,0,0,1
25,36009.0,13926,18,4,514.0,1.0,1,17.4,Mombasa,Self-employed,Secondary,1,0,0
29,49853.0,74750,24,6,,2.0,1,57.4,Kisumu,Informal,Tertiary,1,0,0
51,24291.0,23005,12,7,440.0,8.0,4,31.8,Thika,Formal,Tertiary,0,0,0
50,27358.0,9414,6,1,779.0,1.0,1,52.3,Mombasa,Formal,Secondary,0,0,0
40,105901.0,32196,6,3,736.0,5.0,1,59.9,Eldoret,Informal,Tertiary,1,0,0
41,65744.0,43184,6,7,433.0,3.0,3,52.9,Mombasa,Self-employed,University,0,0,0
54,85965.0,2675,12,4,708.0,6.0,2,39.5,Nakuru,Formal,University,0,1,0
52,58826.0,4476,1,3,510.0,5.0,0,38.5,Kisumu,Informal,Secondary,0,0,0
61,5000.0,4872,18,3,562.0,,4,74.6,Eldoret,Formal,Secondary,0,0,0
57,5646.0,23501,24,5,543.0,8.0,4,90.7,Thika,Formal,Secondary,1,0,0
39,26175.0,18478,6,7,484.0,8.0,3,18.8,Machakos,Formal,Secondary,1,1,0
44,,19298,12,5,648.0,9.0,3,53.4,Kakamega,Self-employed,Primary,1,0,0
52,22665.0,56527,1,3,,3.0,0,74.6,Nyeri,Informal,Tertiary,0,1,0
18,17551.0,29914,18,7,502.0,0.0,2,59.3,Meru,Self-employed,Secondary,0,0,0
52,27902.0,2737,12,2,419.0,1.0,4,37.7,Nakuru,Self-employed,University,0,0,0
54,48085.0,8539,24,7,460.0,7.0,3,50.4,Nakuru,Self-employed,University,1,0,0
64,43994.0,11432,24,5,385.0,9.0,4,66.0,Machakos,Formal,Primary,1,0,0
31,25779.0,10082,18,1,551.0,7.0,1,53.9,Kakamega,Formal,University,0,0,0
20,60486.0,22131,6,4,430.0,1.0,4,59.0,Kakamega,Unemployed,Tertiary,0,0,0
18,19727.0,44492,24,4,523.0,3.0,2,59.6,Meru,Self-employed,Tertiary,0,0,1
22,79458.0,7307,1,6,687.0,0.0,2,49.5,Mombasa,Self-employed,Secondary,1,1,0
43,5000.0,16053,12,1,669.0,6.0,4,76.3,Thika,Formal,Tertiary,0,0,0
31,108274.0,31156,1,1,546.0,3.0,1,50.5,Kakamega,Informal,Secondary,0,0,0
56,37216.0,10764,6,1,541.0,7.0,2,39.9,Kakamega,Self-employed,Tertiary,0,0,0
44,16735.0,3681,1,6,737.0,8.0,3,100.0,Nyeri,Formal,Primary,0,0,0
26,7685.0,12885,1,1,602.0,8.0,4,58.4,Eldoret,Informal,Tertiary,1,0,0
32,22832.0,1136,3,0,517.0,2.0,1,8.0,Eldoret,Informal,Secondary,1,1,1
32,7572.0,57078,1,6,407.0,4.0,3,85.1,Nyeri,Formal,Primary,1,1,0
43,6367.0,1555,18,4,589.0,,4,85.0,Nairobi,Formal,Tertiary,1,0,1
59,33622.0,11541,12,0,632.0,5.0,1,69.1,Thika,Formal,Tertiary,0,1,0
30,25914.0,15095,3,6,486.0,9.0,3,72.6,Kakamega,Formal,Secondary,0,0,0
49,,84403,12,3,579.0,7.0,2,100.0,Meru,Informal,Primary,0,0,0
56,92877.0,3630,12,3,513.0,5.0,4,40.7,Thika,Formal,University,1,0,0
49,26594.0,2430,6,4,531.0,5.0,4,62.7,Machakos,Formal,Tertiary,0,0,0
21,30440.0,1000,6,3,301.0,3.0,2,99.4,Nakuru,Self-employed,Primary,1,0,0
47,5000.0,3381,3,1,527.0,6.0,0,100.0,Kakamega,Informal,Tertiary,0,0,0
54,44259.0,4645,24,6,646.0,7.0,3,52.7,Nairobi,Informal,Secondary,0,0,0
40,17873.0,19916,6,0,486.0,2.0,2,100.0,Meru,Self-employed,Primary,1,1,0
56,131613.0,4961,6,1,555.0,,4,76.1,Thika,Unemployed,Tertiary,1,0,0
62,60640.0,1000,6,3,474.0,2.0,3,89.9,Kisumu,Formal,University,0,1,0
32,25870.0,35045,12,5,586.0,7.0,3,75.4,Nakuru,Informal,Tertiary,0,0,0
60,5000.0,9101,3,7,528.0,0.0,0,66.1,Kakamega,Informal,Secondary,1,0,0
46,68668.0,8729,12,0,456.0,0.0,4,100.0,Thika,Formal,University,1,1,0
